Title,Ingredients,Steps,Ingredients Cleaned
Sup Ayam Telur Puyuh NCC Untuk si Kecil so simple👍,"500 gr ayam, potong kecil--2 buah wortel, potong2--1 buah kentang, potong dadu--2 buah daun bawang, iris halus--2 buah daun seledri, iris halus--secukupnya Kol--10 butir telur puyuh, rebus kupas--1500 ml air--Bumbu halus :--1/2 sdt lada bubuk--4 siung bawang putih--1/4 sdt pala--secukupnya Garam gula--Topping :--secukupnya Bawang goreng--","1) Masak air dalam panci hingga mendidih masukkan ayam, dan biarkan hingga matang. Kemudian masukkan wortel dan kentang masak sebentar
2) Masukkan bumbu halus biarkan kuah mendidih sebentar. Masukkan kol, daun bawang, daun seledri dan telur puyuh aduk rata...beri garam dan gula koreksi rasa.
3) Matikan api, siap disajikan..enakkkkkk....si kecil pasti suka moms","ayam , potong , wortel , potong , kentang , potong dadu , daun bawang , halus , daun seledri , halus , kol , telur puyuh , rebus kupas , air , bumbu halus , lada , bawang putih , pala , garam gula , topping , bawang goreng"
Semur Ayam Kecap,"500 gr daging ayam--10 bawang merah--2 daun salam--4 cengkeh--1 cm kayu manis--1 tomat--Bumbu halus--3 bawang putih--2 ruas jahe--2 kemiri sangrai--1 sdt ketumbar--1/4 sdt jinten--1/2 sdt merica--1/2 sdt pala bubuk--Secukupnya garam, gula, kecap, kaldu bubuk--","1) Rebus daging untuk menghilangkan darah yg menempel, tiriskan. Goreng dengan api kecil setengah matang
2) Iris bawang merah, tomat, haluskan bumbu. Tumis bawang merah hingga harum, tambahkan bumbu halus. Masukkan daun salam, kayu manis, cengkeh dan tomat. Beri sedikit air
3) Tambahkan ayam yg sudah digoreng tadi, tambahkan air sampai ayam terendam. Beri garam, gula, kecap dan kaldu bubuk. Koreksi rasa.
4) Biarkan bumbu meresap dan air menyusut/ sesuai selera
5) Siap dihidangkan","daging ayam , bawang merah , daun salam , cengkeh , kayu manis , tomat , bumbu halus , bawang putih , jahe , kemiri , ketumbar , jinten , merica , pala , garam , gula , kecap , kaldu bubuk"
Ayam balado...,6 potong ayam--1/2 ons cabe merah--5 butir bawang merah--1 buah tomat merah--secukupnya Garam--,"1) Rebus ayam dan garam sebentar, lalu goreng kering
2) Uleg dgn ulekan ya cien...cabe,bawang merah, tomat,garam kasar saja, atau pecah pecah
3) Tumis dalam minyak panas yg cukup byk, atau sambel menggenang khas restoran padang
4) Setelah harum masukkan ayam, aduk sebentar....siap di sajikan","potong ayam , cabe merah , bawang merah , tomat merah , garam"
Bakwan goreng ayam,100 gr dada ayam giling--4 sdm tepung tapioka--1 sdm tepung terigu--2 sdt royco--1 butir telur--,"1) Campurkan semua bahan, lalu goreng dalam minyak panas sampai keemasan
2) Bakwan goreng siap disantap, so simple 🤣","dada ayam giling , tepung tapioka , tepung terigu , royco , telur"
Ayam goreng pedas ala korea,Bahan ayam goreng :--5 potong ayam--1 bungkus tepung sajiku--1 buah telur--Bahan saus:--3 sdm saus barbeque (bisa dibeli di indomar*t)--3 sdm saos tomat--4 sdm sambal abc--1 sdm saus tiram--2 sdm madu--1 sdt gula--1 sdt garam--1/2 sdt lada--Boncabe secukupnya sesuai selera--1 sdm margarin--,"1) Masukkan ayam ke dalam kocokan telur, lalu balurkan ke tepung, ulangi lagi masukkan ke telur, lalu balur ke tepung
2) Goreng dengan api kecil sampai matang kecoklatan
3) Masukkan semua bahan saus kecuali margarin ke sebuah mangkok, aduk sampai tercampur
4) Panaskan margarin sampai cair. Masukkan saus,aduk-aduk beberapa menit,tambahkan sedikit air
5) Masukkan ayam yang sudah digoreng. Masak sampai saus menyusut dan meresap
6) Ayam goreng pedas ala korea siap dihidangkan","ayam goreng , potong ayam , tepung sajiku , telur , saus , saus barbeque , saos tomat , sambal abc , saus tiram , madu , gula , garam , lada , boncabe , margarin"
Semur Ayam dan Kentang,"1 kg Ayam potong_potong. Goreng terlebih dahulu--1/2 kg kentang, kupas, potong bulat dan goreng--6 siung bawang putih dihaluskan--3 siung bawang merah dihaluskan--6 sdm kecap manis atau sesuai selera--1/2 sdt merica bubuk--1 sdm saus tiram--Secukupnya garam--Secukupnya gula--1 ruas jahe geprek--Secukupnya air--Minyak untuk menggoreng ayam--",1) Tumis bumbu halus dan jahe sampai harum. Masukkan ayam dan Kentang serta bumbu lainnya. Masukkan air. Masak sampai ayam matang dan air meresap. Test rasa. Angkat dan sajikan.,"ayam potong_potong goreng , kentang , kupas , potong bulat goreng , bawang putih dihaluskan , bawang merah dihaluskan , kecap manis , merica bubuk , saus tiram , garam , gula , jahe , air , minyak ayam"
Ayam geprek super pedas ala bensu,3 potong ayam--4 Bawang putih--3 bawang merah--2 cabe merah--10 cabe rawit--Tepung saji/tepung terigu--Garam--Telur--Terasi--,"1) Pertama, ungkeb ayam potong masukan garam. Tunggu ayam sampe empuk
2) Bikin bumbu oles buat ayam. Tepung terigu/tepung saji d bagi menjadi 2 mngkuk. Yang satu pake telur kocok kocok yang satu biarkan. Masukan ayam kedalam tepung yg sudah menyatu dgn telur setelah itu masukan kedalam tepung saji/tepung terigu yg satu nya lagi. Lalu remas remas biar ada crispy nya
3) Diamkan beberapa menit biar tepung dan ayam menyatu
4) Goreng ayam tersebut sampe kuning keemasan. Lalu triskan
5) Nah sekarang kita membikin bumbu gepreknya
6) Goreng 4 siung bawang putih 3 siung bawang merah cabe merah sma cabe rawit terasi. Stelah itu kuta ulek beri garam gula dan bumbu oenyedap lainnya","potong ayam , bawang putih , bawang merah , cabe merah , cabe rawit , tepung saji tepung terigu , garam , telur , terasi"
Sup jagung bola ayam wortel,"200 gram daging ayam (giling)--🍜 Bola Ayam Wortel :--1 sdm susu bubuk--2 sdm tepung terigu--1 kuning telur ayam--1/2 sdt merica bubuk--1 sdt garam--50 gram wortel, serut halus (1 batang wortel)--1 sdt minyak wijen (boleh skip)--🍜 Bumbu Kuah :--1 sdm minyak sayur--1 siung bawang putih, cincang halus--20 gram bawang bombay (1/4 bulatan)--750 ml kaldu ayam (dari rebusan tulang ayam)--1 buah jagung manis (sebagian pipil sebagiannya lagi parut)--1 batang wortel (potong korek api)--Secukupnya merica, garam, kaldu bubuk jamur/ayam--🍜 Pelengkap :--1 bungkus sohun, rendam air panas lalu tiriskan--","1) Campur semua bahan bola ayam, lalu buat bulatan dan rebus di air panas, lalukan sampai semua adonan habis lalu tiriskan
2) Tumis bawang putih dan bawang bombay dengan 1sdm minyak hingga harum dan layu, tuang air kaldu
3) Masukan wortel+jagung+bola ayam, beri garam merica dan kaldu bubuk, test rasa
4) Rebus hingga sayuran lunak
5) Hidangkan dengan sohun","daging ayam giling , bola ayam wortel , susu bubuk , tepung terigu , kuning telur ayam , merica bubuk , garam , wortel , serut halus batang wortel , minyak wijen , bumbu kuah , minyak sayur , bawang putih , cincang halus , bawang bombai bulatan , kaldu ayam rebusan tulang ayam , jagung manis pipil sebagiannya parut , batang wortel potong korek api , merica , garam , kaldu bubuk jamur ayam , pelengkap , sohun , rendam air panas tiriskan"
Ayam Goreng Terasi ala resto,"1 ekor ayam potong 12 bagian cuci bersih&tiriskan--Bumbu Marinasi:--7 siung bawang putih,haluskan--1,5 ruas jari jahe,haluskan--1,5 sdm minyak wijen--1 sdm saos tiram--2 sdm kecap asin--1/2 sdt lada bubuk--2 sdm tepung maizena--5 bungkus kecil terasi,sangrai&haluskan--1/2 sdt kaldu jamur--Bahan tepung (aduk jadi satu)--4 sdm tepung maizena--2 sdm tepung tapioka--1 sdm tepung terigu--1 sdm tepung beras--1/2 sdt baking powder--","1) Campur bumbu marinasi ke ayam aduk rata kemudian simpan di kulkas min 1 jam/sampai bumbu meresap *di marinasi semalaman lebih bagus
2) Siapkan bahan tepung
3) Setelah 1 jam keluarkan ayam masukan bahan tepung campur rata
4) Kemudian goreng di minyak panas sedang hingga matang merata angkat&tiriskan
5) Ayam goreng terasi siap di sajikan
~di resep asli ada penambahan air 50 ml tapi di sini saya skip karna ayam nanti pas di marinasi mengeluarkan air","ayam potong & tiriskan , bumbu marinasi , bawang putih , haluskan , jahe , haluskan , minyak wijen , saos tiram , kecap asin , lada , tepung maizena , terasi , sangrai & haluskan , kaldu jamur , tepung aduk , tepung maizena , tepung tapioka , tepung terigu , tepung beras , baking powder"
Tongseng Ayam,"200 gr ayam fillet, potong dadu--1 buah kentang, potong dadu--3 lembar kol, iris--1 serai, gepak--sesuai selera Santan cair--1 buah tomat sedang, potong jd 4--secukupnya Garam, merica, kaldu bubuk dan kecap manis--Bumbu halus:--6 bawang merah--3 bawang putih--2 kemiri--1/4 sdt ketumbar--1 Lombok besar (sesuai selera)--","1) Tumis bumbu halus dan serai hingga harum.
2) Masukkan ayam, aduk hingga berubah warna. Tambahkan santan cair, bumbu2, kentang dan tomat. Didihkan lalu koreksi rasa.
3) Jika sudah pas tambahkan kol iris.","ayam fillet , potong dadu , kentang , potong dadu , kol , serai , gepak , santan cair , tomat , potong , garam , merica , kaldu bubuk kecap manis , bumbu halus , bawang merah , bawang putih , kemiri , ketumbar , lombok"
Soto Ayam Kuah Santan,"1 ekor Ayam Kampung,cuci bersih--2 liter Air--400 ml Santan dari ½ buah kelapa yg agak besar (bs + klo kurang)--3 Batang sereh,geprek--5 Lembar daun jeruk--4 Lembar Daun salam--2 ruas jari kurleb,Lengkuas (geprek)--Kaldu Ayam bubuk,secukupnya (optional)--Garam dan Gula,secukupnya--Bumbu Halus:--7 siung Bawang Putih--10 siung Bawang Merah--1 sdt Ketumbar--5 butir Kemir--secukupnya Kunyit dan Jahe--secukupnya Merica/lada--Pelengkap:--Sambal--Jeruk nipis--secukupnya Bihun,rebus--Kentang goreng,iris tipis (optional)--Telur,direbus (optional)--Taoge secukupnya,di rebus sebentar--Kecap--Bawang goreng,untuk taburan--","1) Siapkan panci,didihkan 2liter air lalu masukan ayam dan rebus dgn api kecil
2) Tumis Bumbu halus hingga wangi,lalu masukan daun jeruk,lengkuas,daun salam dan sereh masak sampai baunya kluar/harum.. Lalu masukan tumisan tadi ke dalam rebusan ayam
3) Tambahkan garam dan penyedap,sedikit gula lalu masak hingga ayam matang,empuk sampai bumbu meresap
4) Tambahkan santan aduk2 agar tidak pecah,apa bila santan kurang kental bisa ditambah lg kelapa nya ato bs juga di tambahkan santan instan
5) Aduk hingga benar2 mendidih lalu angkat ayam dan tiriskan
6) Siapkan mangkuk saji,tata bahan pelengkap seperti bihun,telur rebus dan tauge.. Tambahkan ayam td suir2 ayam dan tata di mangkuk,beri kuah dan bahan pelengkap lainnya.. Soto siap dihidangkan","ayam kampung , air , santan ½ kelapa bs + klo , serai , geprek , daun jeruk , daun salam , kurleb , lengkuas , kaldu ayam bubuk , garam gula , bumbu halus , bawang putih , bawang merah , ketumbar , kemir , kunyit jahe , merica lada , pelengkap , sambal , jeruk nipis , bihun , rebus , kentang goreng , tipis , telur , direbus , taoge , rebus sebentar , kecap , bawang goreng , taburan"
Nasi Ayam Tim,"secukupnya Nasi putih--Tumisan ayam:--250 gr daging ayam, cincang--5 siung bawang putih, cincang--1/2 bawang bombay, cincang--1 sdm saus tiram--3 sdm kecap manis--1 sdt kecap asin--secukupnya Garam & merica bubuk--1 sdt gula--Sejumput kaldu ayam--1,5 cangkir air--1 sdm margarin--Pelengkap: telur puyuh rebus--","1) Tumis bawang putih & bawang bombay dengan margarin sampai harum. Masukkan ayam, aduk2 sampai berubah warna, masukkan bumbu2. Aduk2 sampai bumbu merata, lalu masukkan air.
2) Masak sambil diaduk2 sampai matang & airnya sedikit berkurang. Cicipi ya, koreksi rasa sesuai selera.
3) Panaskan kukusan. Siapkan mangkok tahan panas, tata daging ayam, tengahnya beri telur puyuh, lalu isi dengan nasi sampai penuh, padatkan (tekan2 pakai sendok). Beri kuah tumisan ayam 2-3 sdm. Kukus dengan api besar 15 menit
4) Sajikan dengan sawi rebus
5) Kebetulan tumisan ayamnya ada sisa, jadi bikin mie ayam aja sekalian, pake mie telor","nasi putih , tumisan ayam , daging ayam , cincang , bawang putih , cincang , bawang bombai , cincang , saus tiram , kecap manis , kecap asin , garam & merica bubuk , gula , sejumput kaldu ayam , cangkir air , margarin , pelengkap telur puyuh rebus"
Ayam goreng kecap,1/2 ekor  Ayam potong jd 6 atau 7 potong--1 liter air kaldu ayam--Bumbu yg dihaluskan :--5 siung bawang merah--3 butir bawang putih--5 buah cabe merah (optional)--1 butir bawang bombay yg kecil (iris)--2 sdm saos tiram--secukupnya Kecap sesuai selera--1 sdm garam--2 sdm gula pasir--1 sdt peres maizena--1 sdt minyak wijen--secukupnya Minyak utk menggoreng ayam dan menumis bumbu--,"1) Bersihkan ayam terlebih dahulu. Lalu rebus ayam sampai mendidih. Buang air pertama lalu rebus lg sampai mendidih. Ambil ayamnya utk digoreng stengah matang. Air rebusan jgn dibuang utk air kaldu ayam ya
2) Tumis bumbu halus dan bawang bombay sampai wangi dgn minyak secukupnya dgn api sedang. Lalu masukkan ayam yg sdh digoreng stengah mateng tadi.
3) Tambahkan air kaldu ayam, kecap, saos tiram,gula, garam, lada hitam/putih halus, maizena yg sdh dilarutkan. Masak sampai bumbu meresap dan agak mengental. Koreksi rasanya. Kl udah pas rasanya angkat deh...
4) Jadi deh.. Selamat mencoba ya","ayam potong potong , air kaldu ayam , bumbu dihaluskan , bawang merah , bawang putih , cabe merah , bawang bombai , saos tiram , kecap , garam , gula pasir , peres maizena , minyak wijen , minyak utk ayam menumis bumbu"
Rica-Rica Ayam Pedas,"1 ekor ayam kampung, potong kecil-kecil--1 buah tomat merah, potong kecil--2 batang serai, memarkan--2 iris lengkuas, memarkan--5 lembar daun jeruk--1 sdm gula pasir--1-2 sdt kaldu ayam atau jamur bubuk--secukupnya Garam dan merica--Optional: kecap manis--Bumbu yang dihaluskan:--10 butir bawang merah--8 siung bawang putih--10 buah cabai merah besar--5 buah cabai rawit merah--2 sdt biji ketumbar, sangrai--1 sdt jahe parut--","1) Rebus ayam dengan 2 L air hingga ayam setengah matang. Tiriskan ayam dan ambil 750 mL kaldu. Sisa kaldu boleh disimpan dalam freezer.
- Panaskan minyak dalam wajan atau panci. Tumis bumbu halus hingga wangi.
- Masukkan lengkuas, serai dan daun jeruk. Aduk rata.
- Masukkan ayam dan masak sebentar.
- Tuang kaldu dan bumbuhi dengan gula, garam dan merica secukupnya. Optional boleh tambahkan kecap manis. Masak hingga kuah habis dan ayam empuk.
- Koreksi rasa.
2) Sajikan dengan nasi putih dan taburan bawang goreng.","ayam kampung , potong , tomat merah , potong , serai , memarkan , lengkuas , memarkan , daun jeruk , gula pasir , kaldu ayam jamur bubuk , garam merica , kecap manis , bumbu dihaluskan , bawang merah , bawang putih , cabai merah , cabai rawit merah , biji ketumbar , sangrai , jahe parut"
